req_id,fn_id
CS1004,CS_EnableEntryIDEepromCmd
CS1004,CS_DisableEntryIDEepromCmd
CS1004,CS_GetEntryIDEepromCmd
CS1004,CS_EnableMemoryCmd
CS1004,CS_DisableMemoryCmd
CS1004,CS_ReportBaselineEntryIDMemoryCmd
CS1004,CS_RecomputeBaselineMemoryCmd
CS1004,CS_EnableEntryIDMemoryCmd
CS1004,CS_DisableEntryIDMemoryCmd
CS1004,CS_GetEntryIDMemoryCmd
CS1004,CS_EnableTablesCmd
CS1004,CS_DisableTablesCmd
CS1004,CS_ReportBaselineTableCmd
CS1004,CS_RecomputeBaselineTableCmd
CS1004,CS_EnableNameTableCmd
CS1004,CS_DisableNameTableCmd
CS1004,CS_EnableAppsCmd
CS1004,CS_DisableAppsCmd
CS1004,CS_ReportBaselineAppCmd
CS1004,CS_RecomputeBaselineAppCmd
CS1004,CS_EnableNameAppCmd
CS1005,CS_ComputeEepromMemory
CS1005,CS_ComputeTables
CS1005,CS_ComputeApp
CS1005,CS_OneShotChildTask
CS2001,CS_ComputeEepromMemory
CS2001,CS_BackgroundEeprom
CS2001.1,CS_BackgroundEeprom
CS2001.2,CS_BackgroundEeprom
CS2002,CS_EnableEepromCmd
CS2003,CS_DisableEepromCmd
CS2004,CS_EnableEntryIDEepromCmd
CS2005,CS_DisableEntryIDEepromCmd
CS2006,CS_RecomputeBaselineEepromCmd
CS2006,CS_RecomputeEepromMemoryChildTask
CS2006.1,CS_RecomputeBaselineEepromCmd
CS2006.2,CS_RecomputeBaselineEepromCmd
CS2006.2,CS_RecomputeEepromMemoryChildTask
CS2007,CS_ReportBaselineEntryIDEepromCmd
CS2008,CS_GetEntryIDEepromCmd
CS2009,CS_GetEntryIDEepromCmd
CS2009,CS_DisableEntryIDEepromCmd
CS2009,CS_EnableEntryIDEepromCmd
CS2009,CS_ReportBaselineEntryIDEepromCmd
CS2010,CS_BackgroundEeprom
CS3000,CS_BackgroundOS
CS3000,CS_ComputeEepromMemory
CS3000.1,CS_BackgroundOS
CS3002,CS_EnableOSCmd
CS3003,CS_DisableOSCmd
CS3004,CS_RecomputeBaselineOSCmd
CS3004.1,CS_RecomputeEepromMemoryChildTask
CS3004.1,CS_RecomputeBaselineOSCmd
CS3004.2,CS_RecomputeBaselineOSCmd
CS3005,CS_ReportBaselineOSCmd
CS3006,CS_BackgroundCfeCore
CS3006,CS_ComputeEepromMemory
CS3006.1,CS_BackgroundCfeCore
CS3007,CS_EnableCfeCoreCmd
CS3008,CS_DisableCfeCoreCmd
CS3009,CS_RecomputeBaselineCfeCoreCmd
CS3009,CS_RecomputeEepromMemoryChildTask
CS3009.1,CS_RecomputeBaselineCfeCoreCmd
CS3009.1,CS_RecomputeEepromMemoryChildTask
CS3009.2,CS_RecomputeBaselineCfeCoreCmd
CS3010,CS_ReportBaselineCfeCoreCmd
CS5000,CS_BackgroundTables
CS5000,CS_ComputeTables
CS5000.1,CS_BackgroundTables
CS5000.2,CS_ComputeTables
CS5000.3,CS_ComputeTables
CS5001,CS_EnableTablesCmd
CS5002,CS_DisableTablesCmd
CS5003,CS_EnableNameTableCmd
CS5004,CS_DisableNameTableCmd
CS5005,CS_RecomputeBaselineTableCmd
CS5005,CS_RecomputeTablesChildTask
CS5005.1,CS_RecomputeTablesChildTask
CS5005.2,CS_RecomputeBaselineTableCmd
CS5006,CS_ReportBaselineTableCmd
CS5007,CS_EnableNameTableCmd
CS5007,CS_DisableNameTableCmd
CS5008,CS_GetAppResTblEntryByName
CS5008,CS_ReportBaselineTableCmd
CS5008,CS_RecomputeBaselineTableCmd
CS5008,CS_DisableNameTableCmd
CS5008,CS_EnableNameTableCmd
CS6000,CS_BackgroundMemory
CS6000,CS_ComputeEepromMemory
CS6000.1,CS_BackgroundMemory
CS6000.2,CS_ComputeEepromMemory
CS6001,CS_EnableMemoryCmd
CS6002,CS_DisableMemoryCmd
CS6003,CS_EnableEntryIDMemoryCmd
CS6004,CS_DisableEntryIDMemoryCmd
CS6005,CS_RecomputeBaselineMemoryCmd
CS6005,CS_RecomputeEepromMemoryChildTask
CS6005.1,CS_RecomputeEepromMemoryChildTask
CS6005.2,CS_RecomputeBaselineMemoryCmd
CS6006,CS_ReportBaselineEntryIDMemoryCmd
CS6007,CS_EnableEntryIDMemoryCmd
CS6007,CS_DisableEntryIDMemoryCmd
CS6007,CS_GetEntryIDMemoryCmd
CS6007,CS_ReportBaselineEntryIDMemoryCmd
CS6008,CS_EnableEntryIDMemoryCmd
CS6008,CS_DisableEntryIDMemoryCmd
CS6008,CS_GetEntryIDMemoryCmd
CS6009,CS_GetEntryIDMemoryCmd
CS6009.1,CS_GetEntryIDMemoryCmd
CS7000,CS_ComputeTables
CS7000,CS_ComputeApp
CS7000,CS_ComputeEepromMemory
CS9000,CS_SendHkCmd
CS9001,CS_AppInit
CS9002,CS_AppInit
CS9002,CS_BackgroundCfeCore
CS9002,CS_BackgroundOS
CS9002,CS_InitSegments
CS9003,CS_AppInit
CS9003,CS_BackgroundEeprom
CS9003.1,CS_AppInit
CS9003.1,CS_BackgroundEeprom
CS9003.2,CS_AppInit
CS9004,CS_AppInit
CS9005,CS_AppInit
CS9005.1,CS_ValidateAppChecksumDefinitionTable
CS9006,CS_AppInit
CS9006,CS_BackgroundTables
CS9006.1,CS_AppInit
CS9007,CS_AppInit
CS9007.1,CS_AppInit
CS9007.1,CS_BackgroundMemory
CS9007.2,CS_AppInit
CS9008,CS_AppInit
CS9008,CS_CreateRestoreStatesFromCDS
CS9009,CS_AppInit
CS9010,CS_AppInit
CS9010,CS_BackgroundCfeCore
CS9010,CS_BackgroundOS
CS9010,CS_InitSegments
CS9011,CS_AppInit
CS9011,CS_BackgroundEeprom
CS9011.1,CS_AppInit
CS9011.1,CS_ComputeEepromMemory
CS9011.2,CS_AppInit
CS9012,CS_AppInit
CS9013,CS_AppInit
CS9013,CS_BackgroundApp
CS9013.1,CS_AppInit
CS9014,CS_AppInit
CS9014,CS_BackgroundTables
CS9014.1,CS_AppInit
CS9015,CS_AppInit
CS9015,CS_BackgroundMemory
CS9015.1,CS_AppInit
CS9015.2,CS_AppInit
